Index	idhmdb	name	formula	tracer	tracer purity	z	iso_topologus	isotope_M/Z	isotope_intensity
7	HMDB00148	GLUTAMATE	C5H9NO4	C13	0.99	-1	M0	146.04588130620803;147.04925977156344;0.0;0.0;0.0;0.0	94.73264299062973;5.267357009370283;0.0;0.0;0.0;0.0
7	HMDB00148	GLUTAMATE	C5H9NO4	C13	0.99	-1	M1	146.045881306208;147.04923615468363;148.05262032106583;0.0;0.0;0.0	0.9571262074913733;94.79836098534251;4.244512807166126;0.0;0.0;0.0
7	HMDB00148	GLUTAMATE	C5H9NO4	C13	0.99	-1	M2	0.0;147.04923614805264;148.0525910031574;149.05598450497257;0.0;0.0	0.0;1.915446570322212;94.8634027969367;3.22115063274108;0.0;0.0
7	HMDB00148	GLUTAMATE	C5H9NO4	C13	0.99	-1	M3	0.0;0.0;148.05259098989654;149.05594585163365;150.05935741607414;0.0	0.0;0.0;2.875254817713411;94.92778723725117;2.196957945035431;0.0
7	HMDB00148	GLUTAMATE	C5H9NO4	C13	0.99	-1	M4	0.0;0.0;0.0;149.05594583174175;150.05930070011675;151.06276200228785	0.0;0.0;0.0;3.8368463379406617;94.99153260333509;1.1716210587242601
7	HMDB00148	GLUTAMATE	C5H9NO4	C13	0.99	-1	M5	0.0;0.0;0.0;0.0;150.05930067359046;151.06265554861105	0.0;0.0;0.0;0.0;4.8074810111780515;95.19251898882194
8	HMDB00254	SUCCINATE	C4H6O4	C13	0.99	-1	M0	117.019332205028;118.02271637693724;0.0;0.0;0.0	95.713324128362;4.286675871638003;0.0;0.0;0.0
8	HMDB00254	SUCCINATE	C4H6O4	C13	0.99	-1	M1	117.019332205028;118.02268705350508;119.02608056050308;0.0;0.0	0.9671414735887667;95.77986053946;3.252997986951231;0.0;0.0
8	HMDB00254	SUCCINATE	C4H6O4	C13	0.99	-1	M2	0.0;118.02268704687305;119.02604190198176;120.02945347096512;0.0	0.0;1.9356002042201708;95.84582199205663;2.2185778037231865;0.0
8	HMDB00254	SUCCINATE	C4H6O4	C13	0.99	-1	M3	0.0;0.0;119.02604188871798;120.02939675046235;121.03285805560371	0.0;0.0;2.9056765860594216;95.91122777496622;1.1830956389743696
8	HMDB00254	SUCCINATE	C4H6O4	C13	0.99	-1	M4	0.0;0.0;0.0;120.02939673056498;121.03275159895125	0.0;0.0;0.0;3.8833515306744504;96.11664846932555
9	HMDB0000122	D-(+)-Glucose	C6H12O6	C13	0.99	-1	M0	179.056111637668;180.05949580957724;181.060356630868;0.0;0.0;0.0;0.0	92.63444431777181;6.223174896846761;1.1423807853814263;0.0;0.0;0.0;0.0
9	HMDB0000122	D-(+)-Glucose	C6H12O6	C13	0.99	-1	M1	179.056111637668;180.0594664927741;181.06285628520078;182.063711466078;0.0;0.0;0.0	0.9358103224677453;92.69796812014184;5.223083764219823;1.1431377931705833;0.0;0.0;0.0
9	HMDB0000122	D-(+)-Glucose	C6H12O6	C13	0.99	-1	M2	0.0;180.05946648282944;181.06282134787503;182.06621943477094;183.06706630128804;0.0;0.0	0.0;1.872661886665342;92.76072890732891;4.222723843393869;1.1438853626118648;0.0;0.0
9	HMDB0000122	D-(+)-Glucose	C6H12O6	C13	0.99	-1	M3	0.0;0.0;181.0628213279885;182.0661762029771;183.06958775623326;184.07042113649803;0.0	0.0;0.0;2.8108385209941886;92.82274473774845;3.221793032851192;1.1446237084061526;0.0
9	HMDB0000122	D-(+)-Glucose	C6H12O6	C13	0.99	-1	M4	0.0;0.0;0.0;182.0661761731527;183.069531058087;184.0729682658851;185.07377597170802	0.0;0.0;0.0;3.7506254803659087;92.8840330500109;2.2199884320538277;1.1453530375693841
9	HMDB0000122	D-(+)-Glucose	C6H12O6	C13	0.99	-1	M5	0.0;0.0;0.0;0.0;183.0695310183167;184.07288591321122;186.07713088981978	0.0;0.0;0.0;0.0;4.692304599931306;92.94450833300964;1.1461824815734614
9	HMDB0000122	D-(+)-Glucose	C6H12O6	C13	0.99	-1	M6	0.0;0.0;0.0;0.0;0.0;184.07288586348375;185.0762407683563	0.0;0.0;0.0;0.0;0.0;5.648177765942888;93.20246311139333
10	HMDB00263	PHOSPHOENOLPYRUVATE	C3H5O6P	C13	0.99	-1	M0	166.975098410588;167.9785099887237;168.979343403788;0.0	95.50506581073867;3.317152502413719;1.1777816868476119;0.0
10	HMDB00263	PHOSPHOENOLPYRUVATE	C3H5O6P	C13	0.99	-1	M1	166.975098410588;167.9784532657006;168.98189049637938;169.98269823899798	0.9651297098479762;95.57092429233592;2.2853793379814635;1.1785666598346356
10	HMDB00263	PHOSPHOENOLPYRUVATE	C3H5O6P	C13	0.99	-1	M2	0.0;167.97845325575108;168.98180812081452;170.98605310737426	0.0;1.9316624917139245;95.63627276671912;1.1793906667072462
10	HMDB00263	PHOSPHOENOLPYRUVATE	C3H5O6P	C13	0.99	-1	M3	0.0;0.0;168.981808100915;169.98516297593622	0.0;0.0;2.9062587695809814;95.91096756797738
11	HMDB01401	GLUCOSE 6-PHOSPHATE	C6H13O9P	C13	0.99	-1	M0	259.022442527308;260.025797362518;261.026687520508;0.0;0.0;0.0;0.0	92.30247768144868;5.989911116091181;1.7076112024601433;0.0;0.0;0.0;0.0
11	HMDB01401	GLUCOSE 6-PHOSPHATE	C6H13O9P	C13	0.99	-1	M1	259.022442527308;260.025797362518;261.0291437121382;262.03004235571797;0.0;0.0;0.0	0.9323135595663813;92.34946064779118;5.0097453974838455;1.7084803951586112;0.0;0.0;0.0
11	HMDB01401	GLUCOSE 6-PHOSPHATE	C6H13O9P	C13	0.99	-1	M2	0.0;260.02579736251795;261.0291521930798;262.03248592546214;263.0333971888621;0.0;0.0	0.0;1.8653533880047664;92.39568581309364;4.029627021526065;1.7093337773755293;0.0;0.0
11	HMDB01401	GLUCOSE 6-PHOSPHATE	C6H13O9P	C13	0.99	-1	M3	0.0;0.0;261.02915219617773;262.03250701899344;263.0358618672962;264.03675201994145;0.0	0.0;0.0;2.800849202598794;92.48906421179251;2.999028880265347;1.7110577053433336;0.0
11	HMDB01401	GLUCOSE 6-PHOSPHATE	C6H13O9P	C13	0.99	-1	M4	0.0;0.0;0.0;262.0325070282873;263.03586184025454;264.0392167008025;265.0401068489537	0.0;0.0;0.0;3.7373117178438093;92.54985394663665;2.000657398239205;1.712176937280334
11	HMDB01401	GLUCOSE 6-PHOSPHATE	C6H13O9P	C13	0.99	-1	M5	0.0;0.0;0.0;0.0;263.03586185884546;264.0392166568555;266.0434616758941	0.0;0.0;0.0;0.0;4.675668303901809;92.60996605331388;1.7132818265251677
11	HMDB01401	GLUCOSE 6-PHOSPHATE	C6H13O9P	C13	0.99	-1	M6	0.0;0.0;0.0;0.0;0.0;264.0392166878505;265.042571468784	0.0;0.0;0.0;0.0;0.0;5.616204939281001;92.66942229184885
